UserScreenName,formatted_text,Timestamp,Comments,Likes,Retweets
Embaixada da Rússia,Em março deste ano empresa estatal russa “rosatom abriu uma fábrica de radiofármacos na bolívia que produz medicamentos para o diagnóstico do cancro os primeiros lotes de medicamentos já est o a ser fornecidos ás clínicas locais #oqueéarússia,2023-03-21T13:17:09.000Z,1.0,2.0,2.0
Embaixada da Rússia,Há nove anos a cidade herói de sebastopol e a península de crimeia “regressaram ao seu porto de origem rússia leia sobre os melhoramentos da vida na regi o na nossa página em facebook https bit.ly zcugop,2023-03-18T13:01:22.000Z,1.0,1.0,6.0
Embaixada da Rússia,Sabia que o cosmonauta russo valeri polyakov estabeleceu o recorde de maior perman ncia contínua no #espaço passou  dias consecutivos a bordo da estaç o espacial “mir de  de janeiro de  a  de março de .,2023-03-23T13:12:03.000Z,1.0,2.0,3.0
Embaixada da Rússia, a comédia «viajante foi lançada nos cinemas russos em março o filme baseia se na história verdadeira de anna smolina em  viajou com o seu teckel pelo país até magadan em busca da sua m e que n o via há  anos http is.gd xrlsek,2023-03-24T17:28:10.000Z,1.0,1.0,2.0
Embaixada da Rússia,Sabia que em kazan há o templo de todas as religi es a sua construç o começou em  pelo escultor e pintor ildar khanov e continuava até  uma espécie de museu onde coexistem  civilizaç es e religi es diferentes pelo que n o se realizam os cultos no templo.,2023-03-27T12:09:31.000Z,1.0,1.0,15.0
Embaixada da Rússia, a  de março “diário de notícias publicou o artigo de opini o do embaixador da rússia em portugal mikhail kamynin “quando a “democracia se torna marca de lealdade http is.gd fud0z,2023-03-31T19:01:17.000Z,1.0,3.0,10.0
Embaixada da Rússia, desde  os investigadores russos realizam expediç es regulares ao rtico e recolhem informaç o importante sobre esta parte da terra conheçam a vida na estac o flutuante russa no documentário por rt http is.gd v4uhwu,2023-03-31T13:38:47.000Z,1.0,2.0,1.0
Embaixada da Rússia, comentário do embaixador m.kamynin por ocasi o das especulaç es recém divulgadas nos media ocidentais as sanç es contra a rússia t m um impacto negativo principalmente sobre as economias ocidentais cujo crescimento do pib desacelerou em  https is.gd jkpqo3,2023-03-27T18:08:44.000Z,1.0,1.0,4.0
Embajada de Rusia en Chile,María zajárova ¿han notado cuán abruptamente toda la comunidad occidental se ha olvidado de los derechos humanos https is.gd jgot7x,2022-02-19T14:00:02.000Z,3.0,53.0,119.0
Embajada de Rusia en Chile,"Vamos a ayudarles a desenmascarar al #neonazismo otro aspecto de la ""rica cultura política del régimen en kiev #desnazificación #rusiaucrania",2022-02-28T02:27:05.000Z,219.0,501.0,859.0
Embajada de Rusia en Chile, el objetivo es proteger a la gente que lleva  años sometida a ultraje y a genocidio por parte del régimen kievita para ello nos propondremos desmilitarizar y acabar con el nazismo en ucrania el presidente de rusia vladimir putin #ucraniarusia #lalínearoja,2022-02-25T21:44:26.000Z,116.0,99.0,219.0
Embajada de Rusia en Chile, años de genocidio en donetsk y lugansk años de nuestros intentos de diálogo años de desprecio absoluto de nuestras señales sobre el neonazismo del estado en #kiev ¡basta #desnazificación,2022-03-02T16:50:15.000Z,58.0,51.0,83.0
Embajada de Rusia en Chile, qué es el neonazismo ucraniano por ejemplo posar con armas americanas y británicas en jardines de infancia ¡basta ya #desnazificación,2022-03-06T00:53:00.000Z,2.0,23.0,36.0
Embajada de Rusia en Chile," qué es el neonazismo ucraniano por ejemplo usar escuelas para esconderse y después apuntar con el dedo a rusia por ""atacar edificios civiles ¡basta ya #desnazificacion",2022-03-06T16:47:23.000Z,10.0,22.0,27.0
Embajada de Rusia en Chile,"Bbc informa que ""la ciudad ucraniana de tarkov se resiste a las tropas rusas tarkov es la ciudad del videojuego no hay lugar como este para ellos la crisis ucraniana es un juego para nosotros una etapa histórica de salvar vidas #desnazificación",2022-03-05T10:51:34.000Z,3.0,4.0,7.0
Embajada de Rusia en Chile,8 de marzo día internacional de la mujer es un día para una vez más hacer visible el papel central e imprescindible que tienen las mujeres en todas las esferas de la sociedad en #rusia es un día feriado oficial ¡estamos orgullosos de nuestras increíbles mujeres #8marzo,2022-03-08T15:47:17.000Z,7.0,3.0,3.0
Embajada de Rusia en Chile," qué es el #neonazismo ucraniano utilizar los jardines de infancia para fines militares y luego informar a la prensa occidental sobre ""los ataques rusos contra edificios civiles ¡basta ya #desnazificacion",2022-03-17T00:45:55.000Z,53.0,488.0,647.0
