_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames
Channel,1074511071,Russian MFA 🇷🇺,"{'_': 'ChatPhoto', 'photo_id': 5305600279758094555, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcd\xfd\xdf\x93\x9e7zw\xa2\x8a+k\x12\x7f'}",2016-11-01 10:38:23+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1139418833084560036,MFARussia,[],,,,37662,[]
Channel,1535275735,Embajada de Rusia en Cuba,"{'_': 'ChatPhoto', 'photo_id': 5249094839608391716, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08U\x85|\x922\x06O\xe3E\x14U{F\x88\xe4L'}",2022-02-26 20:39:23+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1656323896876751673,EmbRusCuba,[],,,,355,[]
Channel,1358935867,Roscongress Directo,"{'_': 'ChatPhoto', 'photo_id': 5447339221342863431, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa5\xba/#fy\xces\xb7\x9a(\xa2\x91\xd0\xcf'}",2021-02-03 08:07:11+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5276772639334644445,RoscongressEsp,[],,,,659,[]
Channel,1617683916,"War in Ukraine, Subtitled","{'_': 'ChatPhoto', 'photo_id': 5841695967341033359, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xfb0\xff\x00&\x8a(\xac\xfd\xb3\xec\x8e\xbf\xab\xc7\xb9'}",2022-06-09 19:50:47+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2210621519744522697,war_subtitled_en,[],,,,3494,[]
Channel,1694528462,Now,"{'_': 'ChatPhoto', 'photo_id': 5424949114447182335, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xf3R;\x7f-I,y9\x1c\x03E\x14P\x07'}",2022-04-26 20:49:45+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-27472559080772632,nowyahora,[],,,,1131,[]
Channel,1178174424,IDpublicESP,"{'_': 'ChatPhoto', 'photo_id': 5211215324001714774, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\n\xaa\xe4\x15\x00c\xae:\xd1E\x15\x9com\xcd$\x95\xcf'}",2022-03-06 08:29:07+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5192449114442107844,InfoDefenseESP,[],,,,4053,[]
Channel,1238833987,Rusia en Perú,"{'_': 'ChatPhoto', 'photo_id': 5260758489020611282, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x99u\x11\xc2\x9f,c\x1c\x97\xc7\x14QE!\x9f'}",2022-03-02 15:36:51+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4458871948332528409,rusiaenperu,[],,,,2420,[]
Channel,1338842737,PAX RUSSIKA IBEROAMERICA / ПАКС РУССИКА ИБЕРОАМЕРИКА,"{'_': 'ChatPhoto', 'photo_id': 4958794980709739030, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\xd1\xcc\x82B0I'\xf0\xc5\x14Q@\x1f""}",2022-04-25 04:50:51+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-8078137203445420429,PaxRussikaIberoamerica,[],,,,184,[]
Channel,1592163300,Embajada de Rusia en Uruguay,"{'_': 'ChatPhoto', 'photo_id': 5251715650127247157, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa1\xfb\xbf\xb3\xe7\x8c\xfaw\xcd\x14QZ\xa4#'}",2022-02-27 14:49:28+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6436310845280177581,EmbRusUruguay,[],,,,610,[]
Channel,1656509049,Ruben Gisbert,"{'_': 'ChatPhoto', 'photo_id': 5841457966023293474, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbe\xa5\r\xcf\x98\x1b\x83\xc6\xec\xfe\x94QE;\x05\xcf'}",2022-03-04 00:15:50+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,761276964775769811,rubengisbertoficial,[],,,,46917,[]
